candidate,id,text,createdDate,favoriteCount,retweetCount,polarity,tweetBinary
PeteButtigieg,1124823911290556417,"@PeteButtigieg shares personal story of a Dreamer he met today at Univ of Houston. She’s just as American as the rest of us, he says. https://t.co/qSPIzG1TGT",2019-05-04,0,463,0.0,0
PeteButtigieg,1124478754879942658,"In so many ways, South Bend is our message. Thanks for the encouragement! https://t.co/8YlsbwtyoM",2019-05-04,10004,816,0.375,1
PeteButtigieg,1124422274579345419,"Being involved in politics is an act of hope. Running for office is an act of hope. Sending money to somebody running for office is an act of hope.

We are building a community that thinks hope is worth it.

https://t.co/j9VIMPj5iA https://t.co/svhEA9SBWo",2019-05-03,12085,1888,0.3,1
JulianCastro,1125817973665599489,"Happy Birthday to a wonderful mother and grandmother, @castrocountry! https://t.co/xkaDD8YFU5",2019-05-07,423,42,0.9,1
JulianCastro,1125797374478180354,"Gearing up for a big day in Iowa, visiting with students from 6 colleges. Full list of today's events here ➡️ https://t.co/HZ70jH3X13 https://t.co/XoH4IaLWOh",2019-05-07,68,19,0.175,1
JulianCastro,1125784647919656960,"A ""lightning round"" on where I stand on these 8 issues.
https://t.co/rgwVcEki77",2019-05-07,240,94,-0.2,1
JulianCastro,1125553054822961152,"Earlier today in NH: I toured  downtown Newmarket with State Rep. Michael Cahill and discussed economic development, and toured @WMCC__ with school admins and faculty to talk affordable education for residents of the North Country. #nhpolitics #fitn #PeopleFirst https://t.co/ZfUpjC1vNd",2019-05-07,169,55,0.1,1
JulianCastro,1125527736771055616,Hello y’all! 👋 I’m so excited to share that I’ve joined @JulianCastro’s campaign as the National Organizing Director. Today we’re soft launching our online team -- come volunteer with us! https://t.co/63BT19ZQQU,2019-05-06,0,50,0.25,0
JulianCastro,1125526827336896512,"2020 WATCH @JulianCastro tells me the letter from 400 fmr. federal prosecutors saying @realDonaldTrump would have been indicated on #ObstructionOfJustice if not POTUS ""says something."" Adds ""Congress needs to act"" on his call for impeachment hearings #nhpolitics #FITN #mapoli https://t.co/LE2pSmpxEH",2019-05-06,0,59,0.0,0
JulianCastro,1125485378910195713,"I’m not afraid to take on Donald Trump on his signature issue, and I’m pleased that my many of my Democratic colleagues are beginning to find their voices in defense of immigrants. https://t.co/KKfWlEx9Ax",2019-05-06,693,185,0.43333333333333335,1
JulianCastro,1125476193191510017,The Campus Democrats will be hosting @JulianCastro at the Drake Community Library on Tuesday at 2:30 p.m. Event info at https://t.co/2dPiBDdYlG,2019-05-06,0,18,0.0,0
JulianCastro,1125426593369817088,"Meet me tonight in New Hampshire! Join me for a town hall with @DoverNHDems, @SCDCNHDems and @TricityNHYD. Doors at 6pm. I look forward to seeing y'all there! ⏩ https://t.co/VYVmOML0Lt

#nhpolitics #fitn #onenationonedestiny https://t.co/2IcdavVy42",2019-05-06,65,28,0.2130681818181818,1
JulianCastro,1125212121162244097,"To all our Muslim friends celebrating this month, may your Ramadan be joyful and fulfilling. During this time of reflection and renewal, I wish you and your families peace and happiness. Ramadan Mubarak!",2019-05-06,1398,262,0.875,1
TulsiGabbard,1125746099900141569,"18 years, thousands of dead, trillions of dollars. We’re right back where we started. Our leaders have failed us. It’s time our troops in Afghanistan came home. https://t.co/Csz1YtFCIy",2019-05-07,4292,1581,-0.10357142857142858,1
TulsiGabbard,1125540131761545217,"Happy National Nurses Day! Nurses live a life of service, caring for others, that is so vitally needed in our world today. Please RT to show our deepest aloha, respect and appreciation for their skill and sacrifice #ServiceAboveSelf",2019-05-06,1999,651,0.4121212121212121,1
TulsiGabbard,1125457275517161473,"We need to take the trillions being spent on regime change wars, the new Cold War &amp; arms race, &amp; reinvest those dollars in the needs of our communities--quality healthcare for all, protecting the environment, improving education, rebuilding our crumbling infrastructure, &amp; more. https://t.co/nziORqkosO",2019-05-06,4669,1722,-0.0159090909090909,1
TulsiGabbard,1125245335121666048,Have a safe and happy #CincoDeMayo!,2019-05-06,1094,113,0.75,1
TulsiGabbard,1125030384322924544,"We as a country must stand up and condemn hatred, bigotry &amp; violence, whether it be based on your religion, color of your skin, sexual orientation, ethnicity, or where you come from. We need leaders who’ll stand up against bigotry. And that leadership needs to start at the top. https://t.co/UutPAAyO6G",2019-05-05,3515,975,0.5,1
TulsiGabbard,1124725322761379841,My husband.  #MayThe4thBeWithYou #StarWarsDay https://t.co/76MNSuBP0e,2019-05-04,3001,292,0.0,1
TulsiGabbard,1124724141792407558,"The new Cold War is getting hotter. We need leaders with foresight to see how in Venezuela, Syria &amp; other places, potential military conflict btwn US-Russia can quickly escalate into war—nuclear war, the greatest danger we face today. https://t.co/uwjmzilMig",2019-05-04,4190,1714,0.09209956709956711,1
